ID,Predicted
0, 0.56
1, 0.15
2, 0.56
3, 0.35
4, 0.88
5, 0.15
6, 0.56
7, 0.35
8, 0.48
9, 0.77
10, 0.48
11, 0.56
12, 0.64
13, 0.56
14, 0.88
15, 0.88
16, 0.88
17, 0.56
18, 0.48
19, 0.64
20, 0.35
21, 0.88
22, 0.56
23, 0.56
24, 0.39
25, 0.48
26, 0.56
27, 0.38
28, 0.48
29, 0.48
30, 0.67
31, 0.31
32, 0.48
33, 0.35
34, 0.64
35, 0.40
36, 0.48
37, 0.48
38, 0.56
39, 0.88
40, 0.48
41, 0.35
42, 0.63
43, 0.40
44, 0.88
45, 0.48
46, 0.63
47, 0.15
48, 0.56
49, 0.64
50, 0.15
51, 0.15
52, 0.15
53, 0.56
54, 0.31
55, 0.56
56, 0.40
57, 0.35
58, 0.35
59, 0.48
60, 0.56
61, 0.64
62, 0.15
63, 0.88
64, 0.88
65, 0.35
66, 0.64
67, 0.39
68, 0.15
69, 0.70
70, 0.56
71, 0.88
72, 0.88
73, 0.35
74, 0.15
75, 0.88
76, 0.56
77, 0.48
78, 0.48
79, 0.15
80, 0.70
81, 0.53
82, 0.53
83, 0.88
84, 0.53
85, 0.88
86, 0.64
87, 0.48
88, 0.64
89, 0.88
90, 0.48
91, 0.88
92, 0.33
93, 0.53
94, 0.88
95, 0.39
96, 0.35
97, 0.39
98, 0.88
99, 0.35
100, 0.56
101, 0.63
102, 0.15
103, 0.64
104, 0.56
105, 0.64
106, 0.56
107, 0.40
108, 0.35
109, 0.64
110, 0.15
111, 0.33
112, 0.31
113, 0.39
114, 0.56
115, 0.56
116, 0.67
117, 0.48
118, 0.15
119, 0.64
120, 0.15
121, 0.88
122, 0.53
123, 0.40
124, 0.56
125, 0.15
126, 0.64
127, 0.56
128, 0.63
129, 0.88
130, 0.15
131, 0.88
132, 0.15
133, 0.64
134, 0.63
135, 0.48
136, 0.15
137, 0.23
138, 0.39
139, 0.64
140, 0.48
141, 0.48
142, 0.33
143, 0.88
144, 0.88
145, 0.40
146, 0.48
147, 0.63
148, 0.35
149, 0.23
150, 0.35
151, 0.88
152, 0.15
153, 0.23
154, 0.40
155, 0.64
156, 0.15
157, 0.56
158, 0.48
159, 0.35
160, 0.53
161, 0.39
162, 0.77
163, 0.15
164, 0.56
165, 0.64
166, 0.15
167, 0.56
168, 0.88
169, 0.35
170, 0.56
171, 0.35
172, 0.77
173, 0.64
174, 0.40
175, 0.67
176, 0.40
177, 0.15
178, 0.56
179, 0.35
180, 0.48
181, 0.48
182, 0.88
183, 0.56
184, 0.35
185, 0.39
186, 0.48
187, 0.23
188, 0.56
189, 0.48
190, 0.56
191, 0.38
192, 0.35
193, 0.70
194, 0.35
195, 0.15
196, 0.40
197, 0.77
198, 0.15
199, 0.15
200, 0.56
201, 0.56
202, 0.56
203, 0.40
204, 0.64
205, 0.33
206, 0.15
207, 0.35
208, 0.88
